Rank,Player,Club,GAMES,INNS,NOT OUTS,RUNS,HIGH SCORE,AVG,50s,100s,STRIKE RATE,4s,6s,DUCKS,BOWLED,CAUGHT,LBW,STUMPED,RUN OUT,DID NOT BAT(%),GAMES WON(%),GAMES LOST(%),GAMES DRAWN(%),TEAM RUNS(%)
114,Player_104,Club_31,7,7,4,120,32,40.0,0,0,86.33,18,0,0,0,3,0,0,0,0(0.00%),3(42.86%),4(57.14%),0(0.00%),15.31
115,Player_174,Club_47,11,9,3,120,35,20.0,0,0,141.18,16,3,3,3,3,0,0,0,2(18.18%),8(72.73%),3(27.27%),0(0.00%),10.28
116,Player_363,Club_10,9,9,1,118,31,14.75,0,0,111.32,15,4,1,3,2,0,0,3,0(0.00%),5(55.56%),4(44.44%),0(0.00%),12.1
117,Player_179,Club_22,15,13,3,117,30,11.7,0,0,92.13,22,1,2,5,3,0,0,2,2(13.33%),12(80.00%),3(20.00%),0(0.00%),6.89
118,Player_256,Club_10,12,12,2,117,30,11.7,0,0,43.49,13,0,3,7,1,0,0,2,0(0.00%),8(66.67%),4(33.33%),0(0.00%),9.06
119,Player_108,Club_38,7,7,3,116,30,29.0,0,0,101.75,17,1,1,1,3,0,0,0,0(0.00%),3(42.86%),4(57.14%),0(0.00%),16.41
120,Player_144,Club_36,17,14,4,114,31,11.4,0,0,110.68,15,0,4,4,4,0,0,2,3(17.65%),15(88.24%),2(11.76%),0(0.00%),5.89
121,Player_381,Club_26,10,10,2,113,31,14.13,0,0,47.06,4,0,2,5,3,0,0,0,0(0.00%),1(10.00%),8(80.00%),0(0.00%),16.82
122,Player_091,Club_19,11,10,2,112,28,14.0,0,0,77.78,11,0,1,2,5,1,0,0,1(9.09%),9(81.82%),2(18.18%),0(0.00%),8.08
123,Player_407,Club_25,8,8,1,112,30,16.0,0,0,79.61,16,0,0,5,1,0,0,1,0(0.00%),2(25.00%),6(75.00%),0(0.00%),14.7
124,Player_087,Club_48,9,7,6,111,30,111.0,0,0,111.86,8,0,0,0,1,0,0,0,2(22.22%),8(88.89%),1(11.11%),0(0.00%),13.15
125,Player_314,Club_15,6,5,0,111,40,22.2,0,0,124.72,15,3,0,3,2,0,0,0,1(16.67%),5(83.33%),1(16.67%),0(0.00%),16.79
126,Player_254,Club_32,13,13,0,111,23,8.54,0,0,48.03,12,0,2,7,2,1,1,2,0(0.00%),10(76.92%),2(15.38%),1(7.69%),9.88
127,Player_024,Club_36,16,13,4,109,30,12.11,0,0,89.34,9,0,0,2,6,0,0,1,3(18.75%),14(87.50%),2(12.50%),0(0.00%),6.06
128,Player_020,Club_36,15,11,4,107,30,15.29,0,0,89.17,10,2,2,3,3,0,0,1,4(26.67%),14(93.33%),1(6.67%),0(0.00%),6.35
129,Player_372,Club_43,14,14,2,107,22,8.92,0,0,47.14,15,0,1,3,5,2,0,2,0(0.00%),4(28.57%),10(71.43%),0(0.00%),8.27
130,Player_056,Club_44,11,9,4,106,32,21.2,0,0,67.01,8,0,1,4,0,0,0,1,2(18.18%),8(72.73%),3(27.27%),0(0.00%),10.65
131,Player_171,Club_45,9,7,2,106,30,21.2,0,0,101.35,9,1,1,1,3,0,1,0,2(22.22%),4(44.44%),3(33.33%),1(11.11%),14.89
132,Player_266,Club_21,10,10,1,106,27,11.78,0,0,65.03,14,2,3,7,1,1,0,0,0(0.00%),4(40.00%),6(60.00%),0(0.00%),11.56
133,Player_275,Club_30,10,10,1,105,23,11.67,0,0,50.48,14,0,1,4,3,2,0,0,0(0.00%),1(10.00%),9(90.00%),0(0.00%),13.39
134,Player_219,Club_08,9,9,3,104,32,17.33,0,0,60.47,17,0,2,4,1,0,0,1,0(0.00%),6(66.67%),2(22.22%),0(0.00%),11.87
135,Player_145,Club_37,10,9,2,104,31,14.86,0,0,88.14,10,0,0,1,6,0,0,0,1(10.00%),10(100.00%),0(0.00%),0(0.00%),9.77
136,Player_417,Club_08,7,7,1,103,32,17.17,0,0,95.37,18,1,0,5,1,0,0,0,0(0.00%),5(71.43%),2(28.57%),0(0.00%),15.73
137,Player_205,Club_12,12,12,4,102,29,12.75,0,0,67.55,12,0,2,6,2,0,0,0,0(0.00%),9(75.00%),3(25.00%),0(0.00%),7.5
138,Player_321,Club_25,10,10,3,101,30,14.43,0,0,60,13,0,5,3,3,1,0,0,0(0.00%),3(30.00%),7(70.00%),0(0.00%),11.16
139,Player_326,Club_22,12,10,5,100,24,20.0,0,0,61.73,8,0,0,3,2,0,0,0,2(16.67%),9(75.00%),3(25.00%),0(0.00%),6.94
140,Player_079,Club_35,12,11,2,99,27,11.0,0,0,73.33,12,2,3,5,2,0,0,2,1(8.33%),6(50.00%),6(50.00%),0(0.00%),9.01
141,Player_207,Club_05,7,7,0,98,27,14.0,0,0,66.09,10,1,0,3,4,0,0,0,0(0.00%),5(71.43%),2(28.57%),0(0.00%),12.47
142,Player_125,Club_35,13,10,5,97,25,19.4,0,0,71.32,13,0,1,3,1,0,0,1,3(23.08%),7(53.85%),6(46.15%),0(0.00%),8.39
143,Player_099,Club_27,10,10,1,97,20,10.78,0,0,54.07,44,3,1,5,3,0,0,1,0(0.00%),3(30.00%),7(70.00%),0(0.00%),10.4
144,Player_202,Club_01,10,9,0,97,20,10.78,0,0,83.17,18,2,1,3,5,1,0,0,1(10.00%),7(70.00%),3(30.00%),0(0.00%),10.3
145,Player_036,Club_33,9,9,3,96,30,16.0,0,0,83.93,7,0,1,3,2,0,0,1,0(0.00%),7(77.78%),2(22.22%),0(0.00%),10.22
